Model,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.056400506970849175,0.9081632653061225,0.10620525059665871,0.9733318235848081,0.7240919224024291
Random Forest,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9658128990904183,0.8696576443181597
XGBoost,0.8645833333333334,0.8469387755102041,0.8556701030927835,0.9806010473970116,0.8764611834344347
